GEN_BLD_SUSPEND_YRS_1,GEN_BLD_SUSPEND_YRS_2,GEN_BLD_SUSPEND_YRS_3,SuspendGen
H_Cauya,1980,2035,0.0
H_Cauya,1980,2040,0.0
H_Cauya,1980,2045,0.0
H_Cauya,1980,2050,0.0
H_Chorrera,1980,2023,0.0
H_Chorrera,1980,2025,0.0
H_Chorrera,1980,2030,0.0
H_Chorrera,1980,2035,0.0
H_Chorrera,1980,2040,0.0
H_Chorrera,1980,2045,0.0
H_Chorrera,1980,2050,0.0
H_PalmasSanGil,1954,2023,0.0
H_PalmasSanGil,1954,2025,0.0
H_PalmasSanGil,1954,2030,0.0
H_PalmasSanGil,1954,2035,0.0
H_PalmasSanGil,1954,2040,0.0
H_PalmasSanGil,1954,2045,0.0
H_PalmasSanGil,1954,2050,0.0
H_Cocuyo,1980,2023,0.0
H_Cocuyo,1980,2025,0.0
H_Cocuyo,1980,2030,0.0
H_Cocuyo,1980,2035,0.0
H_Cocuyo,1980,2040,0.0
H_Cocuyo,1980,2045,0.0
H_Cocuyo,1980,2050,0.0
H_Coello,1980,2023,0.0
H_Coello,1980,2025,0.0
H_Coello,1980,2030,0.0
H_Coello,1980,2035,0.0
H_Coello,1980,2040,0.0
H_Coello,1980,2045,0.0
H_Coello,1980,2050,0.0
H_ElEden,1980,2023,0.0
H_ElEden,1980,2025,0.0
H_ElEden,1980,2030,0.0
H_ElEden,1980,2035,0.0
H_ElEden,1980,2040,0.0
H_ElEden,1980,2045,0.0
H_ElEden,1980,2050,0.0
H_ElMolino,1980,2023,0.0
H_ElMolino,1980,2025,0.0
H_ElMolino,1980,2030,0.0
H_ElMolino,1980,2035,0.0
H_ElMolino,1980,2040,0.0
H_ElMolino,1980,2045,0.0
H_ElMolino,1980,2050,0.0
H_Frisolera,1980,2023,0.0
H_Frisolera,1980,2025,0.0
H_Frisolera,1980,2030,0.0
H_Frisolera,1980,2035,0.0
H_Frisolera,1980,2040,0.0
H_Frisolera,1980,2045,0.0
H_Frisolera,1980,2050,0.0
H_Guaviomeno,1980,2023,0.0
H_Guaviomeno,1980,2025,0.0
H_Guaviomeno,1980,2030,0.0
H_Guaviomeno,1980,2035,0.0
H_Guaviomeno,1980,2040,0.0
H_Guaviomeno,1980,2045,0.0
H_Guaviomeno,1980,2050,0.0
H_JuanGarcia,1980,2023,0.0
H_JuanGarcia,1980,2025,0.0
H_JuanGarcia,1980,2030,0.0
H_JuanGarcia,1980,2035,0.0
H_JuanGarcia,1980,2040,0.0
H_JuanGarcia,1980,2045,0.0
H_JuanGarcia,1980,2050,0.0
H_LaRebusca,1980,2023,0.0
H_LaRebusca,1980,2025,0.0
H_LaRebusca,1980,2030,0.0
H_LaRebusca,1980,2035,0.0
H_LaRebusca,1980,2040,0.0
H_LaRebusca,1980,2045,0.0
H_LaRebusca,1980,2050,0.0
H_Libertad,1980,2023,0.0
H_Libertad,1980,2025,0.0
H_Libertad,1980,2030,0.0
H_Libertad,1980,2035,0.0
H_Libertad,1980,2040,0.0
H_Libertad,1980,2045,0.0
H_Libertad,1980,2050,0.0
H_LuzMaI,1980,2023,0.0
H_LuzMaI,1980,2025,0.0
H_LuzMaI,1980,2030,0.0
H_LuzMaI,1980,2035,0.0
H_LuzMaI,1980,2040,0.0
H_LuzMaI,1980,2045,0.0
H_LuzMaI,1980,2050,0.0
H_LuzMaII,1980,2023,0.0
H_LuzMaII,1980,2025,0.0
H_LuzMaII,1980,2030,0.0
H_LuzMaII,1980,2035,0.0
H_LuzMaII,1980,2040,0.0
H_LuzMaII,1980,2045,0.0
H_LuzMaII,1980,2050,0.0
H_Magallo,1980,2023,0.0
H_Magallo,1980,2025,0.0
H_Magallo,1980,2030,0.0
H_Magallo,1980,2035,0.0
H_Magallo,1980,2040,0.0
H_Magallo,1980,2045,0.0
H_Magallo,1980,2050,0.0
H_MorroAzul,1980,2023,0.0
H_MorroAzul,1980,2025,0.0
H_MorroAzul,1980,2030,0.0
H_MorroAzul,1980,2035,0.0
H_MorroAzul,1980,2040,0.0
H_MorroAzul,1980,2045,0.0
H_MorroAzul,1980,2050,0.0
H_Naveta,1980,2023,0.0
