LOAD_ZONE,timepoints,zone_demand_mw
Surocciden,2354,2404.0899999999997
Oriental,2354,2857.5945569620253
Nordeste,2354,1276.769493670886
Caribe,2354,3186.3615189873417
Antioquia,2354,1449.1275949367089
Antioquia,2353,1536.9073417721518
Caribe,2353,3379.37164556962
Surocciden,2353,2549.715189873418
Oriental,2353,3030.6911392405063
Nordeste,2353,1354.1089873417723
Antioquia,2352,1564.6338461538462
Caribe,2352,3440.336153846154
Nordeste,2352,1378.5361538461539
Oriental,2352,3085.3653846153848
Surocciden,2352,2595.7130769230766
Nordeste,2351,1458.283846153846
Oriental,2351,3263.8500000000004
Surocciden,2351,2745.8715384615384
Caribe,2351,3639.355384615385
Antioquia,2351,1655.146153846154
Nordeste,2350,1530.960769230769
Surocciden,2350,2882.7176923076922
Oriental,2350,3426.5115384615387
Antioquia,2350,1737.633076923077
Caribe,2350,3820.7315384615385
Surocciden,2349,2971.3061538461534
Nordeste,2349,1578.0092307692307
Caribe,2349,3938.146153846154
Antioquia,2349,1791.033076923077
Oriental,2349,3531.8115384615385
Oriental,2348,3501.2361538461537
Surocciden,2348,2945.583846153846
Antioquia,2348,1775.5284615384614
Caribe,2348,3904.0530769230772
Nordeste,2348,1564.3476923076923
Surocciden,2347,2753.806923076923
Oriental,2347,3273.2807692307692
Nordeste,2347,1462.4984615384615
Antioquia,2347,1659.9292307692308
Caribe,2347,3649.8715384615384
Surocciden,2346,2754.704615384616
Antioquia,2346,1660.470769230769
Caribe,2346,3651.0646153846155
Nordeste,2346,1462.9769230769232
Oriental,2346,3274.3499999999995
Caribe,2345,3706.37
Antioquia,2345,1685.6238461538462
Nordeste,2345,1485.136923076923
Oriental,2345,3323.9492307692303
Surocciden,2345,2796.433846153846
Caribe,2344,3737.62
Antioquia,2344,1699.8353846153846
Surocciden,2344,2820.0107692307693
Nordeste,2344,1497.66
Oriental,2344,3351.976153846154
Oriental,2343,3399.847692307692
Nordeste,2343,1519.0476923076922
Caribe,2343,3791.0023076923076
Antioquia,2343,1724.1115384615384
Surocciden,2343,2860.286923076923
Caribe,2342,3836.296923076923
Antioquia,2342,1744.7123076923076
Oriental,2342,3440.4700000000003
Nordeste,2342,1537.1984615384617
Surocciden,2342,2894.4615384615386
Oriental,2341,3453.1276923076925
Nordeste,2341,1542.852307692308
Caribe,2341,3850.4100000000003
Antioquia,2341,1751.1299999999999
Surocciden,2341,2905.11
Surocciden,2340,2843.2538461538466
Oriental,2340,3379.602307692308
Nordeste,2340,1510.0023076923076
Caribe,2340,3768.4261538461537
Antioquia,2340,1713.8461538461538
Oriental,2339,3270.333846153846
Caribe,2339,3646.584615384615
Antioquia,2339,1658.433076923077
Nordeste,2339,1461.1815384615386
Surocciden,2339,2751.325384615385
Surocciden,2338,2637.423076923077
Oriental,2338,3134.944615384615
Nordeste,2338,1400.6892307692308
Caribe,2338,3495.62
Antioquia,2338,1589.7753846153848
Oriental,2337,2936.6000000000004
Nordeste,2337,1312.0684615384614
Surocciden,2337,2470.5576923076924
Caribe,2337,3274.4553846153844
Antioquia,2337,1489.1938461538462
Surocciden,2336,2337.5638461538465
Oriental,2336,2778.519230769231
Nordeste,2336,1241.4376923076923
Caribe,2336,3098.1876923076925
Antioquia,2336,1409.026923076923
Nordeste,2335,1231.8815384615384
Surocciden,2335,2319.5692307692307
Oriental,2335,2757.13
