timestamp,Tech,DispatchGen_MW,Quarter,DayType,Hour,Source,Subplot
2023_Q1_H_21h,Hydro,7187.428298461538,Q1,Holiday,21h,Real,Real-Holiday
2023_Q1_H_22h,Hydro,6956.573828461538,Q1,Holiday,22h,Real,Real-Holiday
2023_Q1_H_23h,Hydro,6575.370236923076,Q1,Holiday,23h,Real,Real-Holiday
2023_Q1_H_0h,Run of River,379.1960284615385,Q1,Holiday,0h,Real,Real-Holiday
2023_Q1_H_1h,Run of River,328.5756215384615,Q1,Holiday,1h,Real,Real-Holiday
2023_Q1_H_2h,Run of River,326.92030384615384,Q1,Holiday,2h,Real,Real-Holiday
2023_Q1_H_3h,Run of River,331.50125692307694,Q1,Holiday,3h,Real,Real-Holiday
2023_Q1_H_4h,Run of River,329.4256876923077,Q1,Holiday,4h,Real,Real-Holiday
2023_Q1_H_5h,Run of River,328.40581461538466,Q1,Holiday,5h,Real,Real-Holiday
2023_Q1_H_6h,Run of River,330.9463846153846,Q1,Holiday,6h,Real,Real-Holiday
2023_Q1_H_7h,Run of River,338.56706384615387,Q1,Holiday,7h,Real,Real-Holiday
2023_Q1_H_8h,Run of River,378.5955146153846,Q1,Holiday,8h,Real,Real-Holiday
2023_Q1_H_9h,Run of River,401.09663,Q1,Holiday,9h,Real,Real-Holiday
2023_Q1_H_10h,Run of River,406.8962,Q1,Holiday,10h,Real,Real-Holiday
2023_Q1_H_11h,Run of River,409.31102,Q1,Holiday,11h,Real,Real-Holiday
2023_Q1_H_12h,Run of River,408.9263169230769,Q1,Holiday,12h,Real,Real-Holiday
2023_Q1_H_13h,Run of River,378.1096046153846,Q1,Holiday,13h,Real,Real-Holiday
2023_Q1_H_14h,Run of River,359.58651153846154,Q1,Holiday,14h,Real,Real-Holiday
2023_Q1_H_15h,Run of River,357.8792792307692,Q1,Holiday,15h,Real,Real-Holiday
2023_Q1_H_16h,Run of River,359.2645376923077,Q1,Holiday,16h,Real,Real-Holiday
2023_Q1_H_17h,Run of River,369.1327753846154,Q1,Holiday,17h,Real,Real-Holiday
2023_Q1_H_18h,Run of River,376.9440946153846,Q1,Holiday,18h,Real,Real-Holiday
2023_Q1_H_19h,Run of River,399.72208538461535,Q1,Holiday,19h,Real,Real-Holiday
2023_Q1_H_20h,Run of River,411.4196392307692,Q1,Holiday,20h,Real,Real-Holiday
