HYDRO_GEN_TPS_1,HYDRO_GEN_TPS_2,SpillHydro
AMOYA,3270,0.0
AMOYA,3271,0.0
AMOYA,3272,0.0
AMOYA,3273,2.411629093034573e-05
AMOYA,3274,0.0
AMOYA,3275,0.0
AMOYA,3276,0.0
AMOYA,3277,0.0
AMOYA,3278,0.0
AMOYA,3279,0.0
AMOYA,3280,0.0
AMOYA,3281,0.0
AMOYA,3282,0.0
AMOYA,3283,0.0
AMOYA,3284,0.0
AMOYA,3285,0.0
AMOYA,3286,0.0
AMOYA,3287,0.0
AMOYA,3288,0.0
AMOYA,3289,0.0
AMOYA,3290,0.0
AMOYA,3291,0.0
AMOYA,3292,0.0
AMOYA,3293,0.00014326541472702546
AMOYA,3294,0.0
AMOYA,3295,0.0
AMOYA,3296,0.0
AMOYA,3297,0.0
AMOYA,3298,0.0
AMOYA,3299,0.0
AMOYA,3300,0.0
AMOYA,3301,0.0
AMOYA,3302,0.0
AMOYA,3303,0.0
AMOYA,3304,0.0
AMOYA,3305,0.0
AMOYA,3306,0.0
AMOYA,3307,0.0
AMOYA,3308,0.0
AMOYA,3309,0.0
AMOYA,3310,0.0
AMOYA,3311,0.0
AMOYA,3312,0.0
AMOYA,3313,0.0
AMOYA,3314,0.0
AMOYA,3315,0.0
AMOYA,3316,0.0
AMOYA,3317,0.0
AMOYA,3318,0.0
AMOYA,3319,0.0
AMOYA,3320,0.0
AMOYA,3321,0.0
AMOYA,3322,0.0
AMOYA,3323,0.0
AMOYA,3324,0.0
AMOYA,3325,0.0
AMOYA,3326,5.8665363332046295e-08
AMOYA,3327,0.0
AMOYA,3328,0.0
AMOYA,3329,0.0
AMOYA,3330,0.0
AMOYA,3331,0.0
AMOYA,3332,0.0
AMOYA,3333,0.0
AMOYA,3334,0.0
AMOYA,3335,0.0
AMOYA,3336,0.0
AMOYA,3337,0.0
AMOYA,3338,0.0
AMOYA,3339,0.0
AMOYA,3340,0.0
AMOYA,3341,0.0
AMOYA,3342,0.0
AMOYA,3343,0.0
AMOYA,3344,0.0
AMOYA,3345,0.0
AMOYA,3346,0.0
AMOYA,3347,0.0
AMOYA,3348,0.0
AMOYA,3349,0.0
AMOYA,3350,0.0
AMOYA,3351,0.0
AMOYA,3352,0.0
AMOYA,3353,0.0
AMOYA,3354,0.0
AMOYA,3355,0.0
AMOYA,3356,2.774407849761264e-07
AMOYA,3357,0.0
AMOYA,3358,0.0
AMOYA,3359,0.0
AMOYA,3360,0.0
AMOYA,3361,0.0
AMOYA,3362,0.0
AMOYA,3363,0.0
AMOYA,3364,0.0
AMOYA,3365,0.0
AMOYA,3366,0.0
AMOYA,3367,0.0
AMOYA,3368,0.0
AMOYA,3369,0.0
AMOYA,3370,0.0
AMOYA,3371,0.0
AMOYA,3372,0.0
AMOYA,3373,0.0
AMOYA,3374,0.0
AMOYA,3375,4.622159507998055e-08
AMOYA,3376,0.0
AMOYA,3377,0.0
AMOYA,3378,0.0
AMOYA,3379,0.0
AMOYA,3380,0.0
AMOYA,3381,0.0
AMOYA,3382,0.0
AMOYA,3383,0.0
AMOYA,3384,0.0
AMOYA,3385,0.0
AMOYA,3386,0.0
AMOYA,3387,0.0
AMOYA,3388,0.0
AMOYA,3389,0.0
AMOYA,3390,0.0
AMOYA,3391,0.0
AMOYA,3392,0.0
AMOYA,3393,0.0
AMOYA,3394,0.0
AMOYA,3395,0.0
AMOYA,3396,0.0
AMOYA,3397,0.0
AMOYA,3398,0.0
AMOYA,3399,0.0
AMOYA,3400,0.0
AMOYA,3401,0.0
AMOYA,3402,0.0
AMOYA,3403,0.0
AMOYA,3404,0.0
AMOYA,3405,0.0
AMOYA,3406,2.594497866492795e-07
AMOYA,3407,0.0
AMOYA,3408,0.0
AMOYA,3409,0.0
AMOYA,3410,0.0
AMOYA,3411,0.0
AMOYA,3412,0.0
AMOYA,3413,0.0
AMOYA,3414,0.0
AMOYA,3415,0.0
AMOYA,3416,0.0
AMOYA,3417,0.0
AMOYA,3418,0.0
AMOYA,3419,0.0
AMOYA,3420,0.0
AMOYA,3421,0.0
AMOYA,3422,0.0
AMOYA,3423,0.0
AMOYA,3424,0.0
AMOYA,3425,0.0
AMOYA,3426,0.0
AMOYA,3427,0.0
AMOYA,3428,0.0
AMOYA,3429,0.0
AMOYA,3430,0.0
AMOYA,3431,0.0
AMOYA,3432,4.004260210396721e-08
AMOYA,3433,0.0
AMOYA,3434,0.0
AMOYA,3435,0.0
AMOYA,3436,0.0
AMOYA,3437,0.0
AMOYA,3438,0.0
AMOYA,3439,0.0
AMOYA,3440,0.0
AMOYA,3441,0.0
AMOYA,3442,0.0
AMOYA,3443,0.0
AMOYA,3444,0.0
AMOYA,3445,0.0
AMOYA,3446,0.0
AMOYA,3447,0.0
AMOYA,3448,0.0
AMOYA,3449,2.2975423303308816e-07
AMOYA,3450,0.0
AMOYA,3451,0.0
AMOYA,3452,0.0
AMOYA,3453,0.0
AMOYA,3454,0.0
AMOYA,3455,0.0
AMOYA,3456,0.0
AMOYA,4225,0.0
AMOYA,4226,0.0
AMOYA,4227,0.0
AMOYA,4228,0.0
AMOYA,4229,0.0
AMOYA,4230,0.0
AMOYA,4231,0.0
AMOYA,4232,0.0
AMOYA,4233,3.374605823372166e-07
AMOYA,4234,0.0
AMOYA,4235,0.0
AMOYA,4236,0.0
AMOYA,4237,0.0
AMOYA,4238,0.0
AMOYA,4239,0.0
AMOYA,4240,0.0
AMOYA,4241,0.0
AMOYA,4242,0.0
AMOYA,4243,0.0
AMOYA,4244,0.0
AMOYA,4245,0.0
AMOYA,4246,0.0
AMOYA,4247,0.0
AMOYA,4248,0.0
AMOYA,4249,0.0
AMOYA,4250,0.0
AMOYA,4251,0.0
AMOYA,4252,0.00016955675940840147
AMOYA,4253,0.0
AMOYA,4254,0.0
AMOYA,4255,0.0
AMOYA,4256,0.0
AMOYA,4257,0.0
AMOYA,4258,0.0
AMOYA,4259,0.0
AMOYA,4260,0.0
AMOYA,4261,0.0
AMOYA,4262,0.0
AMOYA,4263,0.0
AMOYA,4264,0.0
AMOYA,4265,0.0
AMOYA,4266,0.0
AMOYA,4267,0.0
AMOYA,4268,0.0
AMOYA,4269,0.0
AMOYA,4270,0.0
AMOYA,4271,0.0
AMOYA,4272,0.0
AMOYA,4273,0.0
AMOYA,4274,0.0
AMOYA,4275,0.0
AMOYA,4276,0.0
AMOYA,4277,0.0
AMOYA,4278,0.0
AMOYA,4279,0.0
AMOYA,4280,0.0
AMOYA,4281,0.0
AMOYA,4282,0.0
AMOYA,4283,0.0
AMOYA,4284,0.0
AMOYA,4285,0.0
AMOYA,4286,0.0
AMOYA,4287,0.0
AMOYA,4288,0.0
AMOYA,4289,0.0
AMOYA,4290,0.0
AMOYA,4291,0.0
AMOYA,4292,0.0
AMOYA,4293,0.0
AMOYA,4294,0.0
AMOYA,4295,4.5743421036786025e-08
AMOYA,4296,0.0
AMOYA,4297,0.0
AMOYA,4298,0.0
AMOYA,4299,0.0
AMOYA,4300,0.0
AMOYA,4301,0.0
AMOYA,4302,0.0
AMOYA,4303,0.0
AMOYA,4304,0.0
AMOYA,4305,0.0
AMOYA,4306,0.0
AMOYA,4307,0.0
AMOYA,4308,0.0
AMOYA,4309,0.0
AMOYA,4310,0.0
AMOYA,4311,0.0
AMOYA,4312,0.0
AMOYA,4313,0.0
AMOYA,4314,0.0
AMOYA,4315,0.0
AMOYA,4316,0.0
AMOYA,4317,0.00017056346082740457
AMOYA,4318,0.0
AMOYA,4319,0.0
AMOYA,4320,0.0
AMOYA,4321,0.0
AMOYA,4322,0.0
AMOYA,4323,0.0
AMOYA,4324,0.0
AMOYA,4325,0.0
AMOYA,4326,0.0
AMOYA,4327,0.0
